OPEN_DATE;OPEN_TIME;CLOSE_DATE;CLOSE_TIME;OPEN;HIGH;LOW;CLOSE;VOLUME;DELTA;ASK;BID;EXPIRATION
16.12.2013;06:00;16.12.2013;10:00;96.43;96.48;96.28;96.43;1971;-203;884;1087;01-14
16.12.2013;10:00;16.12.2013;14:00;96.41;97.21;96.21;97.14;10155;695;5425;4730;01-14
16.12.2013;14:00;16.12.2013;18:00;97.14;97.60;96.71;97.32;50784;86;25435;25349;01-14
16.12.2013;18:00;16.12.2013;22:00;97.40;97.69;97.22;97.45;47833;4189;26011;21822;01-14
16.12.2013;22:00;17.12.2013;02:00;97.44;97.47;97.23;97.29;4248;-340;1954;2294;01-14
16.12.2013;22:00;17.12.2013;02:00;97.73;97.66;97.50;97.54;606;212;409;197;02-14
17.12.2013;02:00;17.12.2013;06:00;97.54;97.67;97.49;97.57;679;-11;334;345;02-14
17.12.2013;06:00;17.12.2013;10:00;97.57;97.71;97.53;97.60;801;161;481;320;02-14
17.12.2013;10:00;17.12.2013;14:00;97.61;97.63;97.26;97.57;3560;84;1822;1738;02-14
17.12.2013;14:00;17.12.2013;18:00;97.57;98.15;97.37;97.92;26629;1329;13979;12650;02-14
17.12.2013;18:00;17.12.2013;22:00;97.95;97.95;97.32;97.41;29144;-1056;14044;15100;02-14
17.12.2013;22:00;18.12.2013;02:00;97.41;97.64;97.28;97.41;2765;105;1435;1330;02-14
17.12.2013;22:00;18.12.2013;02:00;97.41;97.63;97.52;97.41;351;27;189;162;02-14
18.12.2013;02:00;18.12.2013;06:00;97.41;97.70;97.53;97.66;1045;81;563;482;02-14
18.12.2013;06:00;18.12.2013;10:00;97.68;97.72;97.61;97.66;1144;72;608;536;02-14
18.12.2013;10:00;18.12.2013;14:00;97.66;97.83;97.27;97.56;6933;-329;3302;3631;02-14
18.12.2013;14:00;18.12.2013;18:00;97.58;98.30;97.47;97.93;48899;2521;25710;23189;02-14
18.12.2013;18:00;18.12.2013;22:00;98.01;98.22;97.46;98.07;63452;-672;31390;32062;02-14
18.12.2013;22:00;19.12.2013;02:00;98.08;98.12;97.79;97.87;5250;-550;2350;2900;02-14
18.12.2013;22:00;19.12.2013;02:00;98.08;98.03;97.76;97.87;995;59;527;468;02-14
19.12.2013;02:00;19.12.2013;06:00;97.87;98.08;97.80;98.01;1335;31;683;652;02-14
19.12.2013;06:00;19.12.2013;10:00;98.00;98.14;97.92;98.08;1485;39;762;723;02-14
19.12.2013;10:00;19.12.2013;14:00;98.07;98.16;97.92;98.05;4712;252;2482;2230;02-14
19.12.2013;14:00;19.12.2013;18:00;98.02;98.73;97.85;98.53;51663;497;26080;25583;02-14
19.12.2013;18:00;19.12.2013;22:00;98.53;99.49;98.52;98.83;88700;3090;45895;42805;02-14
19.12.2013;22:00;20.12.2013;02:00;98.83;98.87;98.61;98.79;5528;-84;2722;2806;02-14
